----data/ds_1000_short----
ijson
         20787 function calls (19458 primitive calls) in 0.010 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1017    0.001    0.000    0.004    0.000 yajl2_cffi.py:79(wrapped)
        1    0.001    0.001    0.002    0.002 yacc.py:1001(parseopt_notrack)
     1003    0.001    0.000    0.001    0.000 common.py:153(number)
        2    0.000    0.000    0.009    0.005 common.py:130(items)
     1018    0.000    0.000    0.008    0.000 common.py:21(parse)
     1016    0.000    0.000    0.000    0.000 common.py:112(event)
     1009    0.000    0.000    0.000    0.000 {built-in method _cffi_backend.string}
     1009    0.000    0.000    0.001    0.000 api.py:293(string)
     1017    0.000    0.000    0.000    0.000 api.py:526(from_handle)
     2563    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
     1007    0.000    0.000    0.000    0.000 compat.py:15(<lambda>)
   1018/1    0.000    0.000    0.009    0.009 {built-in method builtins.next}
     1009    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      177    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       48    0.000    0.000    0.000    0.000 lex.py:305(token)
   178/56    0.000    0.000    0.000    0.000 model.py:81(__hash__)
      248    0.000    0.000    0.000    0.000 model.py:68(_get_items)
     1019    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     1018    0.000    0.000    0.008    0.000 yajl2_cffi.py:195(basic_parse)
      248    0.000    0.000    0.000    0.000 model.py:69(<listcomp>)
      560    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      251    0.000    0.000    0.000    0.000 yacc.py:240(__getitem__)
     1017    0.000    0.000    0.000    0.000 {built-in method _cffi_backend.from_handle}
   178/56    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       16    0.000    0.000    0.000    0.000 model.py:583(global_cache)
      342    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      308    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
    45/19    0.000    0.000    0.001    0.000 model.py:56(get_cached_btype)
       10    0.000    0.000    0.000    0.000 c_parser.py:375(_build_declarations)
       25    0.000    0.000    0.000    0.000 plyparser.py:55(_token_coord)
      189    0.000    0.000    0.000    0.000 yacc.py:248(__setitem__)
    35/21    0.000    0.000    0.000    0.000 model.py:74(__eq__)
       13    0.000    0.000    0.000    0.000 c_parser.py:306(_fix_decl_name_type)
       48    0.000    0.000    0.000    0.000 c_lexer.py:76(token)
       12    0.000    0.000    0.000    0.000 c_parser.py:862(p_init_declarator)
       32    0.000    0.000    0.000    0.000 c_lexer.py:475(t_ID)
        6    0.000    0.000    0.000    0.000 model.py:242(build_backend_type)
       10    0.000    0.000    0.000    0.000 c_parser.py:741(p_declaration)
       12    0.000    0.000    0.000    0.000 c_parser.py:1106(p_direct_xxx_declarator_1)
        1    0.000    0.000    0.003    0.003 yajl2_cffi.py:164(yajl_init)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       15    0.000    0.000    0.000    0.000 weakref.py:165(__setitem__)
       25    0.000    0.000    0.000    0.000 plyparser.py:49(_coord)
       15    0.000    0.000    0.000    0.000 weakref.py:334(__new__)
        1    0.000    0.000    0.002    0.002 cparser.py:247(_parse)
        4    0.000    0.000    0.001    0.000 api.py:416(_get_cached_btype)
       10    0.000    0.000    0.000    0.000 c_parser.py:681(p_decl_body)
       20    0.000    0.000    0.000    0.000 c_parser.py:351(_add_declaration_specifier)
        2    0.000    0.000    0.000    0.000 {built-in method _cffi_backend.complete_struct_or_union}
       66    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        9    0.000    0.000    0.000    0.000 c_parser.py:529(p_translation_unit_2)
        1    0.000    0.000    0.000    0.000 cparser.py:140(_preprocess)
        3    0.000    0.000    0.001    0.000 model.py:400(finish_backend_type)
       10    0.000    0.000    0.000    0.000 c_parser.py:822(p_type_specifier_no_typeid)
       50    0.000    0.000    0.000    0.000 yacc.py:268(lexpos)
       21    0.000    0.000    0.000    0.000 plyparser.py:42(optrule)
    58/31    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       15    0.000    0.000    0.000    0.000 weakref.py:339(__init__)
        8    0.000    0.000    0.000    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
